request_id,client_id,send_ts,receive_ts,latency_ms,success,error
10354,51,1777364453.421252,1777364458.546117,5124.864,1,
10754,53,1777364453.472678,1777364458.598017,5125.338,1,
9554,47,1777364453.532980,1777364458.650206,5117.224,1,
11354,56,1777364453.587450,1777364458.703258,5115.808,1,
19154,95,1777364453.634220,1777364458.757597,5123.376,1,
11554,57,1777364453.683082,1777364458.811381,5128.298,1,
1355,6,1777364453.737236,1777364458.863170,5125.933,1,
9754,48,1777364453.791337,1777364458.913517,5122.178,1,
8954,44,1777364453.845252,1777364458.967007,5121.754,1,
10954,54,1777364453.891764,1777364459.018274,5126.508,1,
11154,55,1777364453.938360,1777364459.070633,5132.272,1,
11754,58,1777364453.987100,1777364459.122353,5135.252,1,
19954,99,1777364454.040149,1777364459.174597,5134.446,1,
12354,61,1777364454.094642,1777364459.226279,5131.636,1,
12154,60,1777364454.146546,1777364459.273460,5126.912,1,
755,3,1777364454.201240,1777364459.320152,5118.911,1,
11954,59,1777364454.248239,1777364459.369302,5121.062,1,
19754,98,1777364454.297311,1777364459.416106,5118.794,1,
12954,64,1777364454.350348,1777364459.463248,5112.899,1,
12754,63,1777364454.403136,1777364459.510329,5107.193,1,
19554,97,1777364454.455349,1777364459.557176,5101.825,1,
13554,67,1777364454.508497,1777364459.604129,5095.630,1,
12554,62,1777364454.561746,1777364459.651038,5089.290,1,
13354,66,1777364454.614149,1777364459.697271,5083.120,1,
13154,65,1777364454.667980,1777364459.744073,5076.093,1,
1555,7,1777364454.724166,1777364459.791039,5066.871,1,
2355,11,1777364454.776267,1777364459.838355,5062.086,1,
14155,70,1777364454.828100,1777364459.887032,5058.930,1,
14555,72,1777364454.879252,1777364459.937160,5057.906,1,
1955,9,1777364454.930791,1777364459.988444,5057.651,1,
2555,12,1777364454.984980,1777364460.041548,5056.567,1,
2755,13,1777364455.038498,1777364460.088733,5050.233,1,
3155,15,1777364455.092094,1777364460.141736,5049.640,1,
14355,71,1777364455.145622,1777364460.196543,5050.920,1,
14955,74,1777364455.200630,1777364460.251032,5050.400,1,
356,1,1777364455.255627,1777364460.307845,5052.217,1,
13756,68,1777364455.308716,1777364460.364194,5055.477,1,
3755,18,1777364455.360215,1777364460.420341,5060.124,1,
15155,75,1777364455.408754,1777364460.473169,5064.415,1,
14755,73,1777364455.457059,1777364460.520404,5063.344,1,
2955,14,1777364455.504553,1777364460.576961,5072.406,1,
4555,22,1777364455.552410,1777364460.628851,5076.440,1,
15555,77,1777364455.605864,1777364460.680800,5074.934,1,
3555,17,1777364455.660370,1777364460.731349,5070.978,1,
2155,10,1777364455.713318,1777364460.782840,5069.521,1,
15355,76,1777364455.765028,1777364460.833496,5068.467,1,
3355,16,1777364455.817996,1777364460.886208,5068.210,1,
956,4,1777364455.865104,1777364460.939163,5074.057,1,
3955,19,1777364455.912596,1777364460.986762,5074.163,1,
4155,20,1777364455.961034,1777364461.037692,5076.656,1,
15755,78,1777364456.014061,1777364461.086727,5072.664,1,
4355,21,1777364456.067210,1777364461.142505,5075.294,1,
5355,26,1777364456.119135,1777364461.195148,5076.012,1,
5155,25,1777364456.172755,1777364461.247843,5075.085,1,
16155,80,1777364456.227189,1777364461.299255,5072.064,1,
15955,79,1777364456.274025,1777364461.354207,5080.183,1,
6355,31,1777364456.321935,1777364461.408312,5086.376,1,
7755,38,1777364456.373872,1777364461.463751,5089.877,1,
16355,81,1777364456.423163,1777364461.518023,5094.857,1,
4755,23,1777364456.472608,1777364461.570249,5097.640,1,
556,2,1777364456.527057,1777364461.622266,5095.208,1,
4955,24,1777364456.579169,1777364461.675716,5096.546,1,
16755,83,1777364456.631381,1777364461.728200,5096.817,1,
6555,32,1777364456.685112,1777364461.780296,5095.182,1,
5555,27,1777364456.737051,1777364461.831397,5094.346,1,
5755,28,1777364456.788683,1777364461.878011,5089.326,1,
5955,29,1777364456.840768,1777364461.926404,5085.635,1,
16955,84,1777364456.889460,1777364461.981861,5092.399,1,
16555,82,1777364456.944566,1777364462.035814,5091.247,1,
6755,33,1777364456.997422,1777364462.085341,5087.917,1,
17155,85,1777364457.052758,1777364462.141845,5089.085,1,
157,0,1777364457.099428,1777364462.194598,5095.168,1,
7355,36,1777364457.145833,1777364462.245694,5099.860,1,
17555,87,1777364457.192654,1777364462.295858,5103.203,1,
17755,88,1777364457.239789,1777364462.346618,5106.828,1,
7955,39,1777364457.286611,1777364462.400586,5113.974,1,
6155,30,1777364457.333444,1777364462.452033,5118.588,1,
6955,34,1777364457.381998,1777364462.503623,5121.624,1,
17355,86,1777364457.430214,1777364462.556481,5126.265,1,
1756,8,1777364457.477241,1777364462.606346,5129.103,1,
8155,40,1777364457.524128,1777364462.657019,5132.889,1,
7155,35,1777364457.571312,1777364462.708170,5136.857,1,
7555,37,1777364457.618014,1777364462.761827,5143.813,1,
17955,89,1777364457.665236,1777364462.815153,5149.915,1,
18355,91,1777364457.714143,1777364462.871680,5157.535,1,
8355,41,1777364457.765379,1777364462.923600,5158.219,1,
8755,43,1777364457.818654,1777364462.971245,5152.589,1,
10155,50,1777364457.870662,1777364463.018815,5148.152,1,
