request_id,client_id,send_ts,receive_ts,latency_ms,success,error
20,0,1777358918.995817,1777358919.515606,519.788,1,
620,3,1777358919.048668,1777358919.566504,517.834,1,
420,2,1777358919.101558,1777358919.615365,513.806,1,
220,1,1777358919.149199,1777358919.667507,518.307,1,
820,4,1777358919.206077,1777358919.716041,509.963,1,
1620,8,1777358919.259025,1777358919.765278,506.252,1,
1220,6,1777358919.309120,1777358919.812974,503.852,1,
1020,5,1777358919.360797,1777358919.864962,504.163,1,
1820,9,1777358919.410344,1777358919.921133,510.788,1,
1420,7,1777358919.464319,1777358919.975523,511.203,1,
21,0,1777358919.515663,1777358920.028552,512.888,1,
621,3,1777358919.566564,1777358920.080967,514.401,1,
421,2,1777358919.615421,1777358920.128722,513.300,1,
221,1,1777358919.667567,1777358920.185007,517.440,1,
821,4,1777358919.716100,1777358920.237059,520.958,1,
1621,8,1777358919.765332,1777358920.290027,524.693,1,
1221,6,1777358919.813040,1777358920.347215,534.174,1,
1021,5,1777358919.865027,1777358920.401799,536.771,1,
1821,9,1777358919.921187,1777358920.450186,528.998,1,
1421,7,1777358919.975590,1777358920.497181,521.590,1,
22,0,1777358920.028603,1777358920.543717,515.113,1,
622,3,1777358920.081020,1777358920.590267,509.246,1,
422,2,1777358920.128762,1777358920.637142,508.379,1,
222,1,1777358920.185045,1777358920.686018,500.973,1,
822,4,1777358920.237099,1777358920.740237,503.138,1,
1622,8,1777358920.290069,1777358920.792855,502.785,1,
1222,6,1777358920.347252,1777358920.840994,493.740,1,
1022,5,1777358920.401837,1777358920.887235,485.398,1,
1822,9,1777358920.450226,1777358920.935353,485.126,1,
1422,7,1777358920.497223,1777358920.981865,484.642,1,
23,0,1777358920.543756,1777358921.032344,488.587,1,
623,3,1777358920.590306,1777358921.083789,493.482,1,
423,2,1777358920.637178,1777358921.134953,497.773,1,
223,1,1777358920.686058,1777358921.187181,501.122,1,
823,4,1777358920.740277,1777358921.240014,499.735,1,
1623,8,1777358920.792937,1777358921.292512,499.569,1,
1223,6,1777358920.841035,1777358921.347598,506.560,1,
1023,5,1777358920.887275,1777358921.402817,515.541,1,
1823,9,1777358920.935392,1777358921.454229,518.836,1,
1423,7,1777358920.981965,1777358921.501396,519.431,1,
24,0,1777358921.032382,1777358921.549237,516.854,1,
624,3,1777358921.083828,1777358921.596094,512.265,1,
424,2,1777358921.135007,1777358921.642723,507.714,1,
224,1,1777358921.187245,1777358921.690089,502.843,1,
824,4,1777358921.240077,1777358921.737586,497.508,1,
1624,8,1777358921.292565,1777358921.784016,491.450,1,
1224,6,1777358921.347660,1777358921.830790,483.129,1,
1024,5,1777358921.402870,1777358921.876935,474.063,1,
1824,9,1777358921.454483,1777358921.928793,474.309,1,
1424,7,1777358921.501453,1777358921.978025,476.570,1,
25,0,1777358921.549442,1777358922.030249,480.806,1,
625,3,1777358921.596151,1777358922.079954,483.802,1,
425,2,1777358921.642776,1777358922.127332,484.554,1,
225,1,1777358921.690163,1777358922.176162,485.998,1,
825,4,1777358921.737644,1777358922.226047,488.401,1,
1625,8,1777358921.784070,1777358922.278062,493.991,1,
1225,6,1777358921.830848,1777358922.329645,498.796,1,
1025,5,1777358921.877001,1777358922.384043,507.041,1,
1825,9,1777358921.928859,1777358922.435318,506.457,1,
1425,7,1777358921.978082,1777358922.487142,509.059,1,
26,0,1777358922.030303,1777358922.538551,508.246,1,
626,3,1777358922.080008,1777358922.593135,513.125,1,
426,2,1777358922.127386,1777358922.647065,519.677,1,
226,1,1777358922.176353,1777358922.698425,522.071,1,
826,4,1777358922.226114,1777358922.749032,522.917,1,
1626,8,1777358922.278118,1777358922.805186,527.066,1,
1226,6,1777358922.329699,1777358922.855984,526.283,1,
1026,5,1777358922.384105,1777358922.906986,522.880,1,
1826,9,1777358922.435371,1777358922.958210,522.837,1,
1426,7,1777358922.487197,1777358923.011503,524.304,1,
27,0,1777358922.538604,1777358923.066209,527.604,1,
627,3,1777358922.593194,1777358923.115679,522.484,1,
427,2,1777358922.647117,1777358923.170060,522.942,1,
227,1,1777358922.698478,1777358923.222011,523.533,1,
827,4,1777358922.749089,1777358923.268060,518.969,1,
1627,8,1777358922.805269,1777358923.317497,512.228,1,
1227,6,1777358922.856035,1777358923.368119,512.082,1,
1027,5,1777358922.907043,1777358923.421230,514.186,1,
1827,9,1777358922.958261,1777358923.472940,514.677,1,
1427,7,1777358923.011564,1777358923.526137,514.573,1,
28,0,1777358923.066265,1777358923.578139,511.873,1,
628,3,1777358923.115735,1777358923.636047,520.312,1,
428,2,1777358923.170111,1777358923.688173,518.060,1,
228,1,1777358923.222052,1777358923.735267,513.213,1,
828,4,1777358923.268100,1777358923.783544,515.443,1,
1628,8,1777358923.317546,1777358923.838714,521.167,1,
1228,6,1777358923.368159,1777358923.885224,517.064,1,
1028,5,1777358923.421269,1777358923.931595,510.324,1,
1828,9,1777358923.472979,1777358923.977608,504.628,1,
1428,7,1777358923.526176,1777358924.024172,497.995,1,
29,0,1777358923.578178,1777358924.072101,493.923,1,
629,3,1777358923.636090,1777358924.119207,483.116,1,
429,2,1777358923.688222,1777358924.167857,479.634,1,
229,1,1777358923.735309,1777358924.217175,481.865,1,
829,4,1777358923.783584,1777358924.264839,481.253,1,
1629,8,1777358923.838757,1777358924.312392,473.634,1,
1229,6,1777358923.885262,1777358924.363510,478.247,1,
1029,5,1777358923.931721,1777358924.417513,485.791,1,
1829,9,1777358923.977654,1777358924.464700,487.045,1,
1429,7,1777358924.024213,1777358924.511214,487.000,1,
30,0,1777358924.072140,1777358924.557872,485.731,1,
630,3,1777358924.119272,1777358924.604925,485.650,1,
430,2,1777358924.167949,1777358924.653451,485.500,1,
230,1,1777358924.217231,1777358924.700703,483.471,1,
830,4,1777358924.264955,1777358924.747488,482.532,1,
1630,8,1777358924.312444,1777358924.797965,485.519,1,
1230,6,1777358924.363587,1777358924.850710,487.122,1,
1030,5,1777358924.417578,1777358924.903058,485.478,1,
1830,9,1777358924.464754,1777358924.956740,491.985,1,
1430,7,1777358924.511269,1777358925.010757,499.487,1,
31,0,1777358924.557974,1777358925.062490,504.515,1,
631,3,1777358924.604978,1777358925.111954,506.974,1,
431,2,1777358924.653510,1777358925.158728,505.217,1,
231,1,1777358924.700754,1777358925.205086,504.331,1,
831,4,1777358924.747561,1777358925.251837,504.275,1,
1631,8,1777358924.798024,1777358925.298364,500.338,1,
1231,6,1777358924.850765,1777358925.345025,494.259,1,
1031,5,1777358924.903110,1777358925.394761,491.650,1,
1831,9,1777358924.956816,1777358925.441453,484.636,1,
1431,7,1777358925.010809,1777358925.492678,481.867,1,
32,0,1777358925.062544,1777358925.544585,482.038,1,
632,3,1777358925.112007,1777358925.600603,488.595,1,
432,2,1777358925.158781,1777358925.650099,491.317,1,
232,1,1777358925.205139,1777358925.700266,495.125,1,
832,4,1777358925.251954,1777358925.752161,500.206,1,
1632,8,1777358925.298419,1777358925.803733,505.312,1,
1232,6,1777358925.345080,1777358925.854945,509.864,1,
1032,5,1777358925.394827,1777358925.905519,510.691,1,
1832,9,1777358925.441510,1777358925.956656,515.144,1,
1432,7,1777358925.492731,1777358926.008184,515.452,1,
33,0,1777358925.544642,1777358926.058328,513.684,1,
633,3,1777358925.600655,1777358926.109987,509.331,1,
433,2,1777358925.650151,1777358926.164663,514.509,1,
233,1,1777358925.700334,1777358926.221257,520.922,1,
833,4,1777358925.752218,1777358926.272333,520.114,1,
1633,8,1777358925.803787,1777358926.323495,519.706,1,
1233,6,1777358925.855004,1777358926.375178,520.173,1,
1033,5,1777358925.905571,1777358926.426407,520.834,1,
1833,9,1777358925.956711,1777358926.477103,520.391,1,
1433,7,1777358926.008239,1777358926.527800,519.559,1,
34,0,1777358926.058391,1777358926.578676,520.284,1,
634,3,1777358926.110043,1777358926.629307,519.262,1,
434,2,1777358926.164722,1777358926.679817,515.092,1,
234,1,1777358926.221433,1777358926.730690,509.255,1,
