request_id,client_id,send_ts,receive_ts,latency_ms,success,error
4820,24,1777408027.402134,1777408029.731215,2329.080,1,
620,3,1777408029.577405,1777408032.332309,2754.902,1,
4821,24,1777408029.731262,1777408032.466249,2734.985,1,
621,3,1777408032.332346,1777408034.983419,2651.072,1,
4822,24,1777408032.466287,1777408035.158828,2692.540,1,
622,3,1777408034.983650,1777408037.493905,2510.255,1,
4823,24,1777408035.158866,1777408037.658154,2499.287,1,
3820,19,1777408036.722614,1777408039.077951,2355.337,1,
623,3,1777408037.493942,1777408039.855163,2361.219,1,
4824,24,1777408037.658195,1777408039.979308,2321.113,1,
20,0,1777408037.699547,1777408040.023186,2323.638,1,
3821,19,1777408039.078028,1777408041.473093,2395.064,1,
220,1,1777408039.456459,1777408041.866888,2410.428,1,
624,3,1777408039.855204,1777408042.251884,2396.679,1,
4825,24,1777408039.979344,1777408042.387339,2407.994,1,
21,0,1777408040.023224,1777408042.436598,2413.373,1,
3822,19,1777408041.473131,1777408043.952274,2479.142,1,
221,1,1777408041.867088,1777408044.359845,2492.758,1,
625,3,1777408042.251924,1777408044.764154,2512.229,1,
4826,24,1777408042.387382,1777408044.914099,2526.716,1,
22,0,1777408042.436642,1777408044.965665,2529.022,1,
1020,5,1777408043.072364,1777408045.681380,2609.016,1,
4620,23,1777408043.185182,1777408045.770106,2584.923,1,
2020,10,1777408043.910141,1777408046.453165,2543.024,1,
3823,19,1777408043.952310,1777408046.504640,2552.329,1,
420,2,1777408043.997212,1777408046.565345,2568.132,1,
5220,26,1777408044.104923,1777408046.669267,2564.343,1,
4020,20,1777408044.257303,1777408046.822789,2565.484,1,
222,1,1777408044.359882,1777408046.918116,2558.233,1,
626,3,1777408044.764191,1777408047.305032,2540.839,1,
4827,24,1777408044.914137,1777408047.458125,2543.987,1,
23,0,1777408044.965703,1777408047.498407,2532.702,1,
820,4,1777408045.291866,1777408047.733895,2442.028,1,
1021,5,1777408045.681418,1777408048.138069,2456.649,1,
4621,23,1777408045.770147,1777408048.243232,2473.084,1,
4220,21,1777408046.201468,1777408048.668354,2466.885,1,
1220,6,1777408046.405222,1777408048.848256,2443.033,1,
2021,10,1777408046.453205,1777408048.895100,2441.894,1,
3824,19,1777408046.504678,1777408048.947620,2442.941,1,
421,2,1777408046.565384,1777408049.003777,2438.391,1,
7020,35,1777408046.621349,1777408049.057633,2436.283,1,
5221,26,1777408046.669305,1777408049.114118,2444.813,1,
6220,31,1777408046.719958,1777408049.166717,2446.759,1,
2820,14,1777408046.767363,1777408049.217206,2449.843,1,
4021,20,1777408046.822830,1777408049.270300,2447.469,1,
2420,12,1777408046.877320,1777408049.314922,2437.601,1,
223,1,1777408046.918157,1777408049.357164,2439.006,1,
6020,30,1777408046.972945,1777408049.400271,2427.325,1,
1820,9,1777408047.011462,1777408049.450417,2438.955,1,
1420,7,1777408047.061438,1777408049.503692,2442.254,1,
6420,32,1777408047.117960,1777408049.557410,2439.449,1,
1620,8,1777408047.171256,1777408049.610035,2438.778,1,
3620,18,1777408047.208941,1777408049.660109,2451.167,1,
5020,25,1777408047.258261,1777408049.722277,2464.015,1,
627,3,1777408047.305072,1777408049.775356,2470.282,1,
