request_id,client_id,send_ts,receive_ts,latency_ms,success,error
8620,43,1777370141.123314,1777370143.673667,2550.351,1,
9420,47,1777370141.175126,1777370143.725097,2549.969,1,
9220,46,1777370141.228389,1777370143.778169,2549.779,1,
8820,44,1777370141.281629,1777370143.829001,2547.370,1,
6820,34,1777370141.335056,1777370143.882435,2547.378,1,
9620,48,1777370141.381617,1777370143.937402,2555.783,1,
9820,49,1777370141.433916,1777370143.991606,2557.689,1,
1421,7,1777370141.485146,1777370144.045690,2560.543,1,
22,0,1777370141.536997,1777370144.098958,2561.959,1,
621,3,1777370141.589119,1777370144.150211,2561.090,1,
2221,11,1777370141.640415,1777370144.201605,2561.188,1,
3221,16,1777370141.692061,1777370144.252352,2560.290,1,
1821,9,1777370141.743725,1777370144.304190,2560.465,1,
1021,5,1777370141.796337,1777370144.357783,2561.445,1,
2021,10,1777370141.847872,1777370144.409280,2561.407,1,
3021,15,1777370141.900254,1777370144.460153,2559.898,1,
1621,8,1777370141.951211,1777370144.511201,2559.990,1,
2421,12,1777370142.000064,1777370144.564086,2564.022,1,
422,2,1777370142.048129,1777370144.613637,2565.507,1,
3421,17,1777370142.095969,1777370144.661365,2565.396,1,
3621,18,1777370142.143371,1777370144.708258,2564.886,1,
2821,14,1777370142.191163,1777370144.755485,2564.321,1,
4021,20,1777370142.237675,1777370144.802762,2565.086,1,
4621,23,1777370142.285125,1777370144.849597,2564.472,1,
3821,19,1777370142.333569,1777370144.902063,2568.493,1,
4821,24,1777370142.385037,1777370144.954912,2569.839,1,
4221,21,1777370142.436179,1777370145.009485,2573.305,1,
2621,13,1777370142.487798,1777370145.056937,2569.138,1,
5221,26,1777370142.541735,1777370145.104209,2562.472,1,
5021,25,1777370142.594670,1777370145.154311,2559.640,1,
5421,27,1777370142.647074,1777370145.202056,2554.980,1,
6021,30,1777370142.700028,1777370145.249627,2549.598,1,
822,4,1777370142.752071,1777370145.296139,2544.067,1,
5621,28,1777370142.804293,1777370145.348382,2544.087,1,
4421,22,1777370142.857113,1777370145.403876,2546.762,1,
5821,29,1777370142.909364,1777370145.457706,2548.342,1,
7221,36,1777370142.961523,1777370145.503973,2542.449,1,
6421,32,1777370143.015244,1777370145.550572,2535.325,1,
6621,33,1777370143.068247,1777370145.597715,2529.467,1,
7021,35,1777370143.121824,1777370145.644704,2522.878,1,
1222,6,1777370143.172144,1777370145.691279,2519.134,1,
6221,31,1777370143.219393,1777370145.738558,2519.164,1,
7421,37,1777370143.266287,1777370145.784577,2518.288,1,
8021,40,1777370143.314040,1777370145.831515,2517.473,1,
7821,39,1777370143.362119,1777370145.881385,2519.264,1,
8221,41,1777370143.416061,1777370145.934118,2518.055,1,
8421,42,1777370143.467068,1777370145.985837,2518.766,1,
7621,38,1777370143.518587,1777370146.038068,2519.480,1,
222,1,1777370143.570771,1777370146.089828,2519.056,1,
9021,45,1777370143.622681,1777370146.142123,2519.441,1,
8621,43,1777370143.673718,1777370146.194681,2520.961,1,
9421,47,1777370143.725152,1777370146.246933,2521.779,1,
9221,46,1777370143.778222,1777370146.298103,2519.879,1,
8821,44,1777370143.829052,1777370146.348643,2519.589,1,
6821,34,1777370143.882487,1777370146.397344,2514.856,1,
9621,48,1777370143.937452,1777370146.448062,2510.609,1,
9821,49,1777370143.991663,1777370146.501503,2509.838,1,
1422,7,1777370144.045743,1777370146.554136,2508.391,1,
23,0,1777370144.099013,1777370146.607034,2508.020,1,
622,3,1777370144.150261,1777370146.661217,2510.954,1,
2222,11,1777370144.201643,1777370146.714727,2513.083,1,
3222,16,1777370144.252388,1777370146.766211,2513.822,1,
1822,9,1777370144.304229,1777370146.818254,2514.023,1,
1022,5,1777370144.357823,1777370146.870060,2512.235,1,
2022,10,1777370144.409339,1777370146.922632,2513.291,1,
3022,15,1777370144.460190,1777370146.974940,2514.747,1,
1622,8,1777370144.511239,1777370147.024242,2513.001,1,
