request_id,client_id,send_ts,receive_ts,latency_ms,success,error
3220,16,1777411983.241430,1777411984.217215,975.784,1,
3620,18,1777411984.052385,1777411985.041189,988.803,1,
3221,16,1777411984.217268,1777411985.435912,1218.643,1,
7220,36,1777411985.040149,1777411986.865563,1825.415,1,
3621,18,1777411985.041223,1777411985.650417,609.190,1,
1820,9,1777411985.196675,1777411987.121825,1925.147,1,
3222,16,1777411985.435946,1777411986.865117,1429.171,1,
3622,18,1777411985.650466,1777411986.219887,569.419,1,
3623,18,1777411986.219923,1777411987.000691,780.764,1,
5220,26,1777411986.504799,1777411993.830606,7325.811,1,
3223,16,1777411986.865146,1777411990.771015,3905.869,1,
7221,36,1777411986.865587,1777411991.610942,4745.358,1,
3624,18,1777411987.000747,1777411990.343518,3342.770,1,
1821,9,1777411987.121876,1777411991.989465,4867.595,1,
3420,17,1777411987.292209,1777411990.815575,3523.366,1,
9820,49,1777411988.211121,1777411991.642699,3431.577,1,
1420,7,1777411988.248720,1777411991.994029,3745.314,1,
9020,45,1777411990.191354,1777411993.271158,3079.804,1,
3625,18,1777411990.343570,1777411991.196512,852.938,1,
620,3,1777411990.450735,1777411992.710482,2259.746,1,
3224,16,1777411990.771068,1777411992.918357,2147.287,1,
3421,17,1777411990.815639,1777411992.441803,1626.160,1,
3626,18,1777411991.196562,1777411991.807414,610.849,1,
7222,36,1777411991.610985,1777411996.212217,4601.237,1,
9821,49,1777411991.642749,1777411995.185356,3542.610,1,
3627,18,1777411991.807467,1777411992.451679,644.209,1,
5620,28,1777411991.833432,1777411995.067108,3233.677,1,
20,0,1777411991.988551,1777411995.649927,3661.375,1,
1822,9,1777411991.989495,1777411995.800728,3811.235,1,
1421,7,1777411991.994051,1777411995.111845,3117.794,1,
3422,17,1777411992.441856,1777411994.023389,1581.531,1,
3628,18,1777411992.451721,1777411993.008609,556.883,1,
6620,33,1777411992.558239,1777411995.185818,2627.581,1,
621,3,1777411992.710529,1777411995.583053,2872.523,1,
3225,16,1777411992.918407,1777411995.798137,2879.729,1,
3629,18,1777411993.008673,1777411994.028425,1019.752,1,
9021,45,1777411993.271210,1777411996.484835,3213.624,1,
2420,12,1777411993.442104,1777411997.278090,3835.987,1,
5221,26,1777411993.830656,1777411997.575776,3745.125,1,
3423,17,1777411994.023486,1777411996.416712,2393.225,1,
3630,18,1777411994.028462,1777411995.353111,1324.646,1,
5020,25,1777411995.043275,1777411997.297178,2253.901,1,
5621,28,1777411995.067151,1777411997.322762,2255.613,1,
1422,7,1777411995.111900,1777411997.878822,2766.922,1,
9822,49,1777411995.185384,1777411997.573395,2388.013,1,
6621,33,1777411995.185841,1777411997.574644,2388.804,1,
1020,5,1777411995.316379,1777411997.576266,2259.890,1,
3631,18,1777411995.353163,1777411996.011228,658.062,1,
622,3,1777411995.583106,1777411997.575223,1992.120,1,
21,0,1777411995.649978,1777412000.517325,4867.351,1,
3226,16,1777411995.798190,1777411998.821756,3023.570,1,
1823,9,1777411995.800758,1777412001.096946,5296.192,1,
8820,44,1777411995.830732,1777412001.254520,5423.793,1,
3632,18,1777411996.011277,1777411996.666578,655.297,1,
7223,36,1777411996.212248,1777412003.300693,7088.453,1,
3424,17,1777411996.416762,1777412000.166264,3749.507,1,
9022,45,1777411996.484891,1777412002.670135,6185.248,1,
3633,18,1777411996.666637,1777411997.209754,543.116,1,
7020,35,1777411996.742135,1777412000.992257,4250.127,1,
6220,31,1777411996.856617,1777412004.389926,7533.315,1,
3634,18,1777411997.209786,1777412000.745616,3535.832,1,
2421,12,1777411997.278143,1777412004.916801,7638.668,1,
5021,25,1777411997.297228,1777412004.467441,7170.218,1,
5622,28,1777411997.322788,1777412004.275162,6952.379,1,
2820,14,1777411997.571635,1777412005.120757,7549.130,1,
9823,49,1777411997.573429,1777412003.623593,6050.168,1,
