request_id,client_id,send_ts,receive_ts,latency_ms,success,error
5020,25,1777415500.909472,1777415506.868411,5958.931,1,
10420,52,1777415505.413186,1777415506.082725,669.541,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
10421,52,1777415506.082775,1777415506.527700,444.926,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
10422,52,1777415506.527723,1777415511.756897,5229.168,1,
5021,25,1777415506.868464,1777415507.260361,391.897,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
5022,25,1777415507.260377,1777415512.225502,4965.117,1,
16620,83,1777415508.038762,1777415508.318145,279.384,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16621,83,1777415508.318160,1777415508.727106,408.946,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16622,83,1777415508.727126,1777415509.058717,331.592,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
11420,57,1777415509.018721,1777415513.312678,4293.953,1,
16623,83,1777415509.058745,1777415513.315647,4256.899,1,
10423,52,1777415511.756954,1777415512.145326,388.372,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
10424,52,1777415512.145337,1777415512.601802,456.465,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
5023,25,1777415512.225552,1777415516.430939,4205.383,1,
10425,52,1777415512.601819,1777415516.772554,4170.732,1,
19420,97,1777415512.980185,1777415513.380416,400.232,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
11421,57,1777415513.312722,1777415517.341912,4029.184,1,
16624,83,1777415513.315672,1777415513.757260,441.589,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19421,97,1777415513.380434,1777415513.733963,353.529,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19422,97,1777415513.733980,1777415517.713774,3979.786,1,
16625,83,1777415513.757278,1777415517.757419,4000.133,1,
18620,93,1777415513.894060,1777415514.054679,160.620,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
18621,93,1777415514.054690,1777415518.237293,4182.597,1,
17020,85,1777415515.011994,1777415515.309905,297.912,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
17021,85,1777415515.309924,1777415520.387036,5077.105,1,
13020,65,1777415515.326849,1777415515.721793,394.944,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
13021,65,1777415515.721806,1777415520.701411,4979.600,1,
6820,34,1777415515.805065,1777415516.296086,491.019,1,
3220,16,1777415516.036669,1777415516.725205,688.537,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
6821,34,1777415516.296111,1777415521.986933,5690.817,1,
5024,25,1777415516.430973,1777415521.692036,5261.055,1,
7820,39,1777415516.540230,1777415521.748440,5208.202,1,
3221,16,1777415516.725221,1777415517.778501,1053.281,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
10426,52,1777415516.772582,1777415517.056320,283.738,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
10427,52,1777415517.056332,1777415523.310199,6253.861,1,
420,2,1777415517.196497,1777415517.365449,168.953,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
11422,57,1777415517.341965,1777415523.536188,6194.215,1,
421,2,1777415517.365469,1777415517.610513,245.045,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
7020,35,1777415517.520164,1777415523.563199,6043.026,1,
422,2,1777415517.610531,1777415517.784616,174.086,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
7420,37,1777415517.611083,1777415517.783283,172.200,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19423,97,1777415517.713828,1777415517.979563,265.735,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16626,83,1777415517.757491,1777415518.168475,410.985,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
3222,16,1777415517.778520,1777415518.525745,747.226,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
7421,37,1777415517.783299,1777415523.734151,5950.844,1,
423,2,1777415517.784625,1777415517.980699,196.074,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19620,98,1777415517.906983,1777415518.036596,129.613,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19424,97,1777415517.979576,1777415523.844298,5864.718,1,
424,2,1777415517.980705,1777415518.224437,243.733,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19621,98,1777415518.036611,1777415518.218636,182.026,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16627,83,1777415518.168492,1777415518.559779,391.288,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19622,98,1777415518.218647,1777415518.398630,179.984,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
425,2,1777415518.224451,1777415518.466929,242.478,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
18622,93,1777415518.237347,1777415518.632944,395.598,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19623,98,1777415518.398643,1777415518.632407,233.765,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
426,2,1777415518.466940,1777415518.717539,250.600,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
3223,16,1777415518.525764,1777415519.088199,562.435,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16628,83,1777415518.559796,1777415524.078326,5518.527,1,
19624,98,1777415518.632426,1777415519.123533,491.108,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
18623,93,1777415518.632953,1777415518.774935,141.983,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16420,82,1777415518.680804,1777415519.002671,321.868,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
427,2,1777415518.717557,1777415524.073055,5355.492,1,
18624,93,1777415518.774945,1777415518.945581,170.636,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
18625,93,1777415518.945594,1777415519.079429,133.835,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16421,82,1777415519.002690,1777415519.167823,165.134,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
18626,93,1777415519.079445,1777415524.214202,5134.751,1,
3224,16,1777415519.088214,1777415524.464145,5375.924,1,
19625,98,1777415519.123551,1777415524.492666,5369.111,1,
16422,82,1777415519.167843,1777415519.348460,180.618,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
14420,72,1777415519.329646,1777415524.555076,5225.426,1,
16423,82,1777415519.348479,1777415519.517131,168.653,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16424,82,1777415519.517149,1777415519.680056,162.908,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
15020,75,1777415519.579688,1777415519.990260,410.573,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
16425,82,1777415519.680073,1777415520.032147,352.075,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
15620,78,1777415519.862858,1777415520.116902,254.045,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
15021,75,1777415519.990277,1777415524.891789,4901.504,1,
16426,82,1777415520.032166,1777415525.170557,5138.389,1,
8420,42,1777415520.036150,1777415525.026980,4990.826,1,
15621,78,1777415520.116921,1777415525.025959,4909.031,1,
17022,85,1777415520.387092,1777415525.286381,4899.281,1,
9620,48,1777415520.393030,1777415520.782533,389.504,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
1820,9,1777415520.449640,1777415521.056778,607.139,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
13022,65,1777415520.701453,1777415520.974610,273.157,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
9621,48,1777415520.782552,1777415521.157301,374.750,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
13023,65,1777415520.974623,1777415521.228415,253.792,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
1821,9,1777415521.056790,1777415521.544383,487.593,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
9622,48,1777415521.157312,1777415526.066948,4909.630,1,
13024,65,1777415521.228430,1777415521.517188,288.758,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
13025,65,1777415521.517200,1777415526.472538,4955.333,1,
1822,9,1777415521.544396,1777415521.932067,387.671,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19220,96,1777415521.599162,1777415526.359903,4760.736,1,
5025,25,1777415521.692089,1777415522.124858,432.770,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
7821,39,1777415521.748498,1777415522.925925,1177.427,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
1823,9,1777415521.932083,1777415522.335622,403.540,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
2420,12,1777415521.932581,1777415522.152708,220.128,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
6822,34,1777415521.986977,1777415522.386841,399.864,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
5026,25,1777415522.124876,1777415522.807874,682.999,0,[500] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
19820,99,1777415522.147290,1777415527.111740,4964.443,1,
2421,12,1777415522.152724,1777415527.233886,5081.155,1,
15820,79,1777415522.182909,1777415522.339181,156.273,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
1824,9,1777415522.335639,1777415527.584609,5248.962,1,
15821,79,1777415522.339191,1777415522.502767,163.577,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
6823,34,1777415522.386854,1777415522.873658,486.805,0,[503] an exception occurred in the client while decoding the response: Parse error at offset 1: Invalid value.
