request_id,client_id,send_ts,receive_ts,latency_ms,success,error
220,1,1777350566.347875,1777350566.385833,37.958,1,
221,1,1777350566.385860,1777350566.423839,37.979,1,
820,4,1777350566.392866,1777350566.431541,38.675,1,
420,2,1777350566.400630,1777350566.439189,38.559,1,
620,3,1777350566.404476,1777350566.443032,38.555,1,
1220,6,1777350566.419991,1777350566.458700,38.709,1,
222,1,1777350566.423858,1777350566.462576,38.718,1,
20,0,1777350566.427727,1777350566.466426,38.698,1,
821,4,1777350566.431559,1777350566.470273,38.713,1,
1020,5,1777350566.435367,1777350566.474122,38.755,1,
421,2,1777350566.439208,1777350566.477991,38.782,1,
621,3,1777350566.443050,1777350566.482241,39.191,1,
1620,8,1777350566.446947,1777350566.486464,39.516,1,
1820,9,1777350566.450856,1777350566.490515,39.659,1,
1420,7,1777350566.454797,1777350566.494691,39.893,1,
1221,6,1777350566.458718,1777350566.498725,40.007,1,
223,1,1777350566.462595,1777350566.502833,40.237,1,
21,0,1777350566.466444,1777350566.506454,40.010,1,
822,4,1777350566.470296,1777350566.510275,39.979,1,
1021,5,1777350566.474139,1777350566.514143,40.004,1,
422,2,1777350566.478007,1777350566.517976,39.969,1,
622,3,1777350566.482257,1777350566.521810,39.553,1,
1621,8,1777350566.486488,1777350566.525724,39.236,1,
1821,9,1777350566.490530,1777350566.529601,39.070,1,
1421,7,1777350566.494714,1777350566.533508,38.793,1,
1222,6,1777350566.498741,1777350566.537374,38.632,1,
224,1,1777350566.502850,1777350566.541222,38.373,1,
22,0,1777350566.506471,1777350566.545093,38.622,1,
823,4,1777350566.510297,1777350566.548954,38.656,1,
1022,5,1777350566.514159,1777350566.552895,38.735,1,
423,2,1777350566.517992,1777350566.556820,38.828,1,
623,3,1777350566.521826,1777350566.560713,38.887,1,
1622,8,1777350566.525746,1777350566.564672,38.926,1,
1822,9,1777350566.529617,1777350566.568585,38.968,1,
1422,7,1777350566.533528,1777350566.572600,39.072,1,
1223,6,1777350566.537394,1777350566.576475,39.081,1,
225,1,1777350566.541238,1777350566.580341,39.102,1,
23,0,1777350566.545109,1777350566.584240,39.131,1,
824,4,1777350566.548975,1777350566.587862,38.886,1,
1023,5,1777350566.552911,1777350566.591518,38.606,1,
424,2,1777350566.556836,1777350566.595340,38.504,1,
624,3,1777350566.560729,1777350566.599219,38.490,1,
1623,8,1777350566.564693,1777350566.603178,38.484,1,
1823,9,1777350566.568601,1777350566.607192,38.590,1,
1423,7,1777350566.572622,1777350566.610790,38.167,1,
1224,6,1777350566.576492,1777350566.614401,37.908,1,
226,1,1777350566.580374,1777350566.618295,37.921,1,
24,0,1777350566.584257,1777350566.622136,37.879,1,
825,4,1777350566.587878,1777350566.626017,38.138,1,
1024,5,1777350566.591535,1777350566.629919,38.384,1,
425,2,1777350566.595371,1777350566.633741,38.369,1,
625,3,1777350566.599236,1777350566.637591,38.355,1,
1624,8,1777350566.603200,1777350566.641483,38.282,1,
1824,9,1777350566.607208,1777350566.645385,38.176,1,
1424,7,1777350566.610807,1777350566.649291,38.483,1,
1225,6,1777350566.614417,1777350566.653295,38.877,1,
227,1,1777350566.618317,1777350566.657170,38.853,1,
25,0,1777350566.622153,1777350566.661043,38.890,1,
826,4,1777350566.626040,1777350566.664943,38.903,1,
1025,5,1777350566.629936,1777350566.668835,38.899,1,
426,2,1777350566.633757,1777350566.672732,38.975,1,
626,3,1777350566.637608,1777350566.676589,38.981,1,
1625,8,1777350566.641504,1777350566.680478,38.974,1,
1825,9,1777350566.645403,1777350566.684398,38.994,1,
1425,7,1777350566.649312,1777350566.688245,38.933,1,
1226,6,1777350566.653309,1777350566.692170,38.860,1,
228,1,1777350566.657185,1777350566.695982,38.796,1,
26,0,1777350566.661058,1777350566.699795,38.736,1,
827,4,1777350566.664963,1777350566.703689,38.725,1,
1026,5,1777350566.668850,1777350566.707532,38.682,1,
427,2,1777350566.672747,1777350566.711363,38.615,1,
627,3,1777350566.676604,1777350566.715173,38.568,1,
1626,8,1777350566.680511,1777350566.719051,38.539,1,
1826,9,1777350566.684416,1777350566.722991,38.575,1,
1426,7,1777350566.688265,1777350566.726795,38.530,1,
1227,6,1777350566.692188,1777350566.730684,38.496,1,
229,1,1777350566.695999,1777350566.734508,38.508,1,
27,0,1777350566.699810,1777350566.738284,38.473,1,
828,4,1777350566.703710,1777350566.742165,38.455,1,
1027,5,1777350566.707548,1777350566.746057,38.509,1,
428,2,1777350566.711382,1777350566.749897,38.514,1,
628,3,1777350566.715189,1777350566.753745,38.556,1,
1627,8,1777350566.719072,1777350566.757608,38.536,1,
1827,9,1777350566.723007,1777350566.761473,38.466,1,
1427,7,1777350566.726816,1777350566.765337,38.521,1,
1228,6,1777350566.730701,1777350566.769193,38.492,1,
230,1,1777350566.734523,1777350566.773051,38.527,1,
28,0,1777350566.738299,1777350566.776867,38.568,1,
829,4,1777350566.742186,1777350566.780776,38.590,1,
1028,5,1777350566.746072,1777350566.784642,38.570,1,
429,2,1777350566.749912,1777350566.788498,38.586,1,
629,3,1777350566.753760,1777350566.792303,38.543,1,
1628,8,1777350566.757629,1777350566.796196,38.566,1,
1828,9,1777350566.761490,1777350566.800063,38.573,1,
1428,7,1777350566.765375,1777350566.804017,38.642,1,
1229,6,1777350566.769210,1777350566.807897,38.687,1,
231,1,1777350566.773066,1777350566.811801,38.735,1,
29,0,1777350566.776882,1777350566.815623,38.741,1,
830,4,1777350566.780798,1777350566.819485,38.686,1,
1029,5,1777350566.784658,1777350566.823341,38.683,1,
430,2,1777350566.788513,1777350566.827193,38.680,1,
630,3,1777350566.792319,1777350566.831039,38.720,1,
1629,8,1777350566.796215,1777350566.834943,38.727,1,
1829,9,1777350566.800078,1777350566.838804,38.726,1,
1429,7,1777350566.804038,1777350566.842749,38.711,1,
1230,6,1777350566.807913,1777350566.846636,38.722,1,
232,1,1777350566.811817,1777350566.850476,38.659,1,
30,0,1777350566.815638,1777350566.854265,38.627,1,
831,4,1777350566.819505,1777350566.857758,38.252,1,
1030,5,1777350566.823373,1777350566.861630,38.256,1,
431,2,1777350566.827208,1777350566.865498,38.289,1,
631,3,1777350566.831055,1777350566.869329,38.274,1,
1630,8,1777350566.834963,1777350566.873204,38.241,1,
1830,9,1777350566.838819,1777350566.877084,38.265,1,
1430,7,1777350566.842769,1777350566.881006,38.236,1,
1231,6,1777350566.846652,1777350566.884892,38.240,1,
233,1,1777350566.850492,1777350566.888755,38.262,1,
31,0,1777350566.854281,1777350566.892585,38.304,1,
832,4,1777350566.857773,1777350566.896442,38.668,1,
1031,5,1777350566.861650,1777350566.900303,38.652,1,
432,2,1777350566.865514,1777350566.904208,38.694,1,
632,3,1777350566.869345,1777350566.908100,38.754,1,
1631,8,1777350566.873225,1777350566.912008,38.782,1,
1831,9,1777350566.877100,1777350566.915893,38.793,1,
1431,7,1777350566.881026,1777350566.919832,38.805,1,
1232,6,1777350566.884908,1777350566.923778,38.870,1,
234,1,1777350566.888772,1777350566.927642,38.870,1,
32,0,1777350566.892601,1777350566.931452,38.851,1,
833,4,1777350566.896458,1777350566.935239,38.781,1,
1032,5,1777350566.900324,1777350566.939106,38.781,1,
433,2,1777350566.904223,1777350566.943026,38.802,1,
633,3,1777350566.908115,1777350566.946830,38.714,1,
1632,8,1777350566.912029,1777350566.950727,38.697,1,
1832,9,1777350566.915908,1777350566.954577,38.668,1,
1432,7,1777350566.919852,1777350566.958497,38.645,1,
1233,6,1777350566.923792,1777350566.962333,38.541,1,
235,1,1777350566.927658,1777350566.966219,38.561,1,
33,0,1777350566.931467,1777350566.970043,38.576,1,
834,4,1777350566.935255,1777350566.973889,38.633,1,
1033,5,1777350566.939126,1777350566.977774,38.649,1,
434,2,1777350566.943042,1777350566.981649,38.607,1,
634,3,1777350566.946845,1777350566.985121,38.275,1,
1633,8,1777350566.950747,1777350566.988616,37.869,1,
1833,9,1777350566.954592,1777350566.992487,37.894,1,
1433,7,1777350566.958517,1777350566.996437,37.920,1,
1234,6,1777350566.962363,1777350567.000255,37.892,1,
236,1,1777350566.966234,1777350567.003787,37.552,1,
34,0,1777350566.970058,1777350567.007647,37.588,1,
835,4,1777350566.973905,1777350567.011525,37.619,1,
1034,5,1777350566.977796,1777350567.015402,37.606,1,
435,2,1777350566.981664,1777350567.018917,37.252,1,
635,3,1777350566.985136,1777350567.022405,37.268,1,
1634,8,1777350566.988633,1777350567.025872,37.238,1,
1834,9,1777350566.992502,1777350567.029764,37.262,1,
1434,7,1777350566.996458,1777350567.033673,37.215,1,
1235,6,1777350567.000270,1777350567.037546,37.276,1,
237,1,1777350567.003802,1777350567.041430,37.627,1,
35,0,1777350567.007662,1777350567.045248,37.585,1,
836,4,1777350567.011546,1777350567.049162,37.616,1,
1035,5,1777350567.015418,1777350567.053103,37.685,1,
436,2,1777350567.018932,1777350567.056556,37.624,1,
636,3,1777350567.022420,1777350567.060047,37.627,1,
1635,8,1777350567.025895,1777350567.063564,37.669,1,
1835,9,1777350567.029779,1777350567.067042,37.263,1,
1435,7,1777350567.033692,1777350567.070957,37.264,1,
1236,6,1777350567.037562,1777350567.074861,37.298,1,
238,1,1777350567.041445,1777350567.078762,37.316,1,
36,0,1777350567.045263,1777350567.082627,37.364,1,
837,4,1777350567.049183,1777350567.086493,37.310,1,
1036,5,1777350567.053118,1777350567.090382,37.263,1,
437,2,1777350567.056571,1777350567.094219,37.647,1,
637,3,1777350567.060062,1777350567.098063,38.000,1,
1636,8,1777350567.063579,1777350567.101974,38.395,1,
1836,9,1777350567.067058,1777350567.105902,38.844,1,
1436,7,1777350567.070977,1777350567.109832,38.855,1,
1237,6,1777350567.074877,1777350567.113725,38.848,1,
239,1,1777350567.078778,1777350567.117575,38.797,1,
37,0,1777350567.082651,1777350567.121394,38.742,1,
838,4,1777350567.086514,1777350567.125247,38.733,1,
1037,5,1777350567.090401,1777350567.129138,38.737,1,
438,2,1777350567.094235,1777350567.132992,38.757,1,
638,3,1777350567.098078,1777350567.136826,38.748,1,
1637,8,1777350567.101995,1777350567.140711,38.715,1,
1837,9,1777350567.105919,1777350567.144587,38.668,1,
1437,7,1777350567.109853,1777350567.148489,38.635,1,
1238,6,1777350567.113740,1777350567.152314,38.573,1,
240,1,1777350567.117591,1777350567.156163,38.572,1,
38,0,1777350567.121410,1777350567.160008,38.598,1,
839,4,1777350567.125267,1777350567.163912,38.645,1,
1038,5,1777350567.129153,1777350567.167761,38.608,1,
439,2,1777350567.133008,1777350567.171600,38.592,1,
639,3,1777350567.136842,1777350567.175418,38.576,1,
1638,8,1777350567.140731,1777350567.179240,38.509,1,
1838,9,1777350567.144601,1777350567.183145,38.543,1,
1438,7,1777350567.148508,1777350567.187033,38.524,1,
1239,6,1777350567.152328,1777350567.190908,38.580,1,
241,1,1777350567.156178,1777350567.194720,38.541,1,
39,0,1777350567.160022,1777350567.198548,38.525,1,
840,4,1777350567.163933,1777350567.202411,38.477,1,
1039,5,1777350567.167776,1777350567.206228,38.452,1,
440,2,1777350567.171615,1777350567.210066,38.451,1,
640,3,1777350567.175433,1777350567.213901,38.467,1,
1639,8,1777350567.179261,1777350567.217760,38.499,1,
1839,9,1777350567.183160,1777350567.221595,38.435,1,
1439,7,1777350567.187054,1777350567.225483,38.428,1,
1240,6,1777350567.190923,1777350567.229315,38.391,1,
242,1,1777350567.194735,1777350567.233183,38.448,1,
40,0,1777350567.198563,1777350567.237014,38.450,1,
841,4,1777350567.202431,1777350567.240899,38.467,1,
1040,5,1777350567.206243,1777350567.244770,38.526,1,
441,2,1777350567.210082,1777350567.248596,38.514,1,
641,3,1777350567.213915,1777350567.252416,38.500,1,
1640,8,1777350567.217780,1777350567.256257,38.476,1,
1840,9,1777350567.221612,1777350567.260129,38.517,1,
1440,7,1777350567.225504,1777350567.264068,38.563,1,
1241,6,1777350567.229330,1777350567.267958,38.627,1,
243,1,1777350567.233199,1777350567.271789,38.589,1,
41,0,1777350567.237028,1777350567.275618,38.589,1,
842,4,1777350567.240919,1777350567.279470,38.550,1,
1041,5,1777350567.244785,1777350567.283304,38.519,1,
442,2,1777350567.248610,1777350567.287179,38.568,1,
642,3,1777350567.252431,1777350567.291064,38.633,1,
1641,8,1777350567.256278,1777350567.295059,38.781,1,
1841,9,1777350567.260144,1777350567.298876,38.732,1,
1441,7,1777350567.264088,1777350567.302725,38.637,1,
1242,6,1777350567.267973,1777350567.306544,38.571,1,
244,1,1777350567.271804,1777350567.310444,38.640,1,
42,0,1777350567.275633,1777350567.314191,38.558,1,
843,4,1777350567.279490,1777350567.318066,38.575,1,
1042,5,1777350567.283319,1777350567.321895,38.576,1,
443,2,1777350567.287198,1777350567.325829,38.631,1,
643,3,1777350567.291079,1777350567.329684,38.605,1,
1642,8,1777350567.295079,1777350567.333554,38.474,1,
1842,9,1777350567.298898,1777350567.337385,38.486,1,
1442,7,1777350567.302746,1777350567.341258,38.512,1,
1243,6,1777350567.306559,1777350567.345126,38.566,1,
245,1,1777350567.310461,1777350567.348972,38.511,1,
43,0,1777350567.314206,1777350567.352777,38.570,1,
844,4,1777350567.318086,1777350567.356647,38.560,1,
1043,5,1777350567.321911,1777350567.360454,38.543,1,
444,2,1777350567.325851,1777350567.363909,38.058,1,
644,3,1777350567.329701,1777350567.367386,37.685,1,
1643,8,1777350567.333575,1777350567.370818,37.242,1,
1843,9,1777350567.337402,1777350567.374663,37.261,1,
1443,7,1777350567.341278,1777350567.378542,37.264,1,
1244,6,1777350567.345142,1777350567.382410,37.267,1,
246,1,1777350567.348988,1777350567.386220,37.232,1,
44,0,1777350567.352792,1777350567.390039,37.246,1,
845,4,1777350567.356667,1777350567.393930,37.263,1,
1044,5,1777350567.360469,1777350567.397809,37.340,1,
445,2,1777350567.363925,1777350567.401741,37.816,1,
645,3,1777350567.367403,1777350567.405665,38.262,1,
1644,8,1777350567.370832,1777350567.409513,38.681,1,
1844,9,1777350567.374677,1777350567.413377,38.699,1,
1444,7,1777350567.378562,1777350567.417255,38.692,1,
1245,6,1777350567.382425,1777350567.421175,38.750,1,
247,1,1777350567.386235,1777350567.424727,38.492,1,
45,0,1777350567.390054,1777350567.428577,38.523,1,
846,4,1777350567.393950,1777350567.432459,38.509,1,
1045,5,1777350567.397824,1777350567.436363,38.524,1,
446,2,1777350567.401761,1777350567.440245,38.484,1,
646,3,1777350567.405683,1777350567.444161,38.478,1,
1645,8,1777350567.409534,1777350567.448078,38.544,1,
1845,9,1777350567.413397,1777350567.451982,38.585,1,
1445,7,1777350567.417275,1777350567.455886,38.611,1,
1246,6,1777350567.421190,1777350567.459767,38.577,1,
248,1,1777350567.424743,1777350567.463702,38.959,1,
46,0,1777350567.428592,1777350567.467519,38.926,1,
847,4,1777350567.432479,1777350567.471405,38.926,1,
1046,5,1777350567.436384,1777350567.475267,38.883,1,
447,2,1777350567.440267,1777350567.478784,38.517,1,
647,3,1777350567.444176,1777350567.482690,38.514,1,
1646,8,1777350567.448098,1777350567.486578,38.480,1,
1846,9,1777350567.451997,1777350567.490614,38.617,1,
1446,7,1777350567.455906,1777350567.494484,38.577,1,
1247,6,1777350567.459782,1777350567.498314,38.533,1,
249,1,1777350567.463718,1777350567.502169,38.450,1,
47,0,1777350567.467533,1777350567.505998,38.464,1,
848,4,1777350567.471425,1777350567.509864,38.439,1,
1047,5,1777350567.475282,1777350567.513734,38.451,1,
448,2,1777350567.478799,1777350567.517620,38.821,1,
648,3,1777350567.482710,1777350567.521535,38.825,1,
1647,8,1777350567.486594,1777350567.525375,38.780,1,
1847,9,1777350567.490629,1777350567.529205,38.575,1,
1447,7,1777350567.494503,1777350567.533114,38.610,1,
1248,6,1777350567.498329,1777350567.536994,38.664,1,
250,1,1777350567.502183,1777350567.540854,38.670,1,
48,0,1777350567.506014,1777350567.544685,38.671,1,
849,4,1777350567.509895,1777350567.548573,38.678,1,
1048,5,1777350567.513749,1777350567.552460,38.711,1,
449,2,1777350567.517640,1777350567.556309,38.668,1,
649,3,1777350567.521556,1777350567.560235,38.679,1,
1648,8,1777350567.525395,1777350567.564144,38.749,1,
1848,9,1777350567.529220,1777350567.568040,38.820,1,
1448,7,1777350567.533134,1777350567.572222,39.088,1,
1249,6,1777350567.537008,1777350567.576296,39.288,1,
251,1,1777350567.540869,1777350567.580272,39.403,1,
49,0,1777350567.544702,1777350567.584161,39.459,1,
850,4,1777350567.548593,1777350567.588088,39.494,1,
1049,5,1777350567.552476,1777350567.591980,39.504,1,
450,2,1777350567.556329,1777350567.595867,39.537,1,
650,3,1777350567.560255,1777350567.599763,39.508,1,
1649,8,1777350567.564160,1777350567.603637,39.476,1,
1849,9,1777350567.568055,1777350567.607459,39.404,1,
1449,7,1777350567.572244,1777350567.611309,39.064,1,
1250,6,1777350567.576312,1777350567.615199,38.886,1,
252,1,1777350567.580293,1777350567.619131,38.838,1,
50,0,1777350567.584178,1777350567.623131,38.952,1,
851,4,1777350567.588109,1777350567.626930,38.821,1,
1050,5,1777350567.591996,1777350567.630839,38.842,1,
451,2,1777350567.595897,1777350567.634451,38.554,1,
651,3,1777350567.599779,1777350567.638217,38.437,1,
1650,8,1777350567.603653,1777350567.642125,38.472,1,
1850,9,1777350567.607474,1777350567.645971,38.497,1,
1450,7,1777350567.611329,1777350567.649831,38.501,1,
1251,6,1777350567.615213,1777350567.653743,38.529,1,
253,1,1777350567.619153,1777350567.657563,38.410,1,
51,0,1777350567.623147,1777350567.661442,38.294,1,
852,4,1777350567.626951,1777350567.664965,38.014,1,
1051,5,1777350567.630855,1777350567.668494,37.638,1,
452,2,1777350567.634468,1777350567.672329,37.860,1,
652,3,1777350567.638237,1777350567.676212,37.974,1,
1651,8,1777350567.642141,1777350567.680118,37.976,1,
1851,9,1777350567.645988,1777350567.683967,37.979,1,
1451,7,1777350567.649851,1777350567.687859,38.007,1,
1252,6,1777350567.653759,1777350567.691820,38.061,1,
254,1,1777350567.657584,1777350567.695683,38.098,1,
52,0,1777350567.661458,1777350567.699592,38.133,1,
853,4,1777350567.664981,1777350567.703478,38.497,1,
1052,5,1777350567.668508,1777350567.707300,38.792,1,
453,2,1777350567.672345,1777350567.711168,38.823,1,
653,3,1777350567.676233,1777350567.715055,38.822,1,
1652,8,1777350567.680133,1777350567.718935,38.802,1,
1852,9,1777350567.683983,1777350567.722501,38.518,1,
1452,7,1777350567.687891,1777350567.726052,38.160,1,
1253,6,1777350567.691836,1777350567.729600,37.764,1,
255,1,1777350567.695704,1777350567.733475,37.771,1,
53,0,1777350567.699608,1777350567.737304,37.696,1,
854,4,1777350567.703499,1777350567.741176,37.676,1,
1053,5,1777350567.707316,1777350567.745043,37.727,1,
454,2,1777350567.711183,1777350567.748877,37.694,1,
654,3,1777350567.715075,1777350567.752780,37.704,1,
1653,8,1777350567.718951,1777350567.756653,37.702,1,
1853,9,1777350567.722516,1777350567.760148,37.632,1,
1453,7,1777350567.726068,1777350567.763736,37.668,1,
1254,6,1777350567.729615,1777350567.767277,37.662,1,
256,1,1777350567.733496,1777350567.770819,37.322,1,
54,0,1777350567.737319,1777350567.774330,37.010,1,
855,4,1777350567.741196,1777350567.777876,36.680,1,
1054,5,1777350567.745058,1777350567.781446,36.388,1,
455,2,1777350567.748894,1777350567.785289,36.395,1,
655,3,1777350567.752800,1777350567.789171,36.371,1,
1654,8,1777350567.756668,1777350567.793051,36.382,1,
1854,9,1777350567.760163,1777350567.796921,36.758,1,
1454,7,1777350567.763752,1777350567.800798,37.046,1,
1255,6,1777350567.767292,1777350567.804698,37.405,1,
257,1,1777350567.770834,1777350567.808538,37.704,1,
55,0,1777350567.774345,1777350567.812382,38.036,1,
856,4,1777350567.777899,1777350567.816262,38.363,1,
1055,5,1777350567.781461,1777350567.820153,38.692,1,
456,2,1777350567.785305,1777350567.824049,38.744,1,
656,3,1777350567.789191,1777350567.827948,38.757,1,
1655,8,1777350567.793066,1777350567.831822,38.756,1,
1855,9,1777350567.796937,1777350567.835701,38.764,1,
1455,7,1777350567.800815,1777350567.839575,38.759,1,
1256,6,1777350567.804713,1777350567.843492,38.778,1,
258,1,1777350567.808554,1777350567.847307,38.753,1,
56,0,1777350567.812401,1777350567.851161,38.760,1,
857,4,1777350567.816283,1777350567.855051,38.767,1,
1056,5,1777350567.820169,1777350567.858929,38.760,1,
457,2,1777350567.824064,1777350567.862797,38.733,1,
657,3,1777350567.827969,1777350567.866693,38.723,1,
1656,8,1777350567.831837,1777350567.870549,38.712,1,
1856,9,1777350567.835716,1777350567.874388,38.672,1,
1456,7,1777350567.839595,1777350567.878263,38.668,1,
1257,6,1777350567.843507,1777350567.882140,38.632,1,
259,1,1777350567.847322,1777350567.885972,38.650,1,
57,0,1777350567.851177,1777350567.889774,38.597,1,
858,4,1777350567.855071,1777350567.893636,38.565,1,
1057,5,1777350567.858944,1777350567.897501,38.556,1,
458,2,1777350567.862813,1777350567.901322,38.508,1,
658,3,1777350567.866713,1777350567.905187,38.473,1,
1657,8,1777350567.870566,1777350567.909030,38.464,1,
1857,9,1777350567.874405,1777350567.912885,38.472,1,
1457,7,1777350567.878284,1777350567.916781,38.497,1,
1258,6,1777350567.882156,1777350567.920664,38.507,1,
260,1,1777350567.885988,1777350567.924558,38.569,1,
58,0,1777350567.889789,1777350567.928446,38.657,1,
859,4,1777350567.893657,1777350567.931915,38.258,1,
1058,5,1777350567.897516,1777350567.935761,38.245,1,
459,2,1777350567.901344,1777350567.939639,38.295,1,
659,3,1777350567.905202,1777350567.943513,38.310,1,
1658,8,1777350567.909046,1777350567.947340,38.293,1,
1858,9,1777350567.912901,1777350567.950801,37.900,1,
1458,7,1777350567.916803,1777350567.954681,37.877,1,
1259,6,1777350567.920679,1777350567.958529,37.849,1,
261,1,1777350567.924579,1777350567.962395,37.815,1,
59,0,1777350567.928461,1777350567.966425,37.963,1,
860,4,1777350567.931930,1777350567.970231,38.301,1,
1059,5,1777350567.935776,1777350567.974078,38.302,1,
460,2,1777350567.939660,1777350567.977976,38.315,1,
660,3,1777350567.943528,1777350567.981840,38.312,1,
1659,8,1777350567.947368,1777350567.985693,38.325,1,
1859,9,1777350567.950816,1777350567.989551,38.734,1,
1459,7,1777350567.954700,1777350567.993451,38.751,1,
1260,6,1777350567.958544,1777350567.997272,38.728,1,
262,1,1777350567.962415,1777350568.000807,38.392,1,
60,0,1777350567.966440,1777350568.004306,37.866,1,
861,4,1777350567.970247,1777350568.008173,37.925,1,
1060,5,1777350567.974094,1777350568.012007,37.913,1,
461,2,1777350567.977996,1777350568.015904,37.908,1,
661,3,1777350567.981856,1777350568.019756,37.899,1,
1660,8,1777350567.985709,1777350568.023646,37.937,1,
1860,9,1777350567.989571,1777350568.027552,37.981,1,
1460,7,1777350567.993471,1777350568.031423,37.952,1,
1261,6,1777350567.997292,1777350568.035265,37.973,1,
263,1,1777350568.000821,1777350568.039255,38.433,1,
61,0,1777350568.004322,1777350568.043183,38.861,1,
862,4,1777350568.008188,1777350568.047010,38.821,1,
1061,5,1777350568.012022,1777350568.050851,38.828,1,
462,2,1777350568.015925,1777350568.054741,38.815,1,
662,3,1777350568.019770,1777350568.058581,38.811,1,
1661,8,1777350568.023662,1777350568.062427,38.764,1,
1861,9,1777350568.027572,1777350568.066258,38.685,1,
1461,7,1777350568.031439,1777350568.070149,38.710,1,
1262,6,1777350568.035285,1777350568.074196,38.910,1,
264,1,1777350568.039274,1777350568.077949,38.674,1,
62,0,1777350568.043198,1777350568.081800,38.602,1,
863,4,1777350568.047025,1777350568.085660,38.635,1,
1062,5,1777350568.050866,1777350568.089572,38.705,1,
463,2,1777350568.054761,1777350568.093455,38.692,1,
663,3,1777350568.058597,1777350568.097259,38.662,1,
1662,8,1777350568.062442,1777350568.101135,38.693,1,
1862,9,1777350568.066279,1777350568.105035,38.755,1,
1462,7,1777350568.070164,1777350568.108894,38.730,1,
1263,6,1777350568.074216,1777350568.112768,38.552,1,
265,1,1777350568.077964,1777350568.116594,38.630,1,
63,0,1777350568.081816,1777350568.120448,38.631,1,
864,4,1777350568.085675,1777350568.124233,38.558,1,
1063,5,1777350568.089592,1777350568.128123,38.530,1,
464,2,1777350568.093475,1777350568.131986,38.511,1,
664,3,1777350568.097274,1777350568.135838,38.563,1,
1663,8,1777350568.101150,1777350568.139698,38.547,1,
1863,9,1777350568.105057,1777350568.143587,38.530,1,
1463,7,1777350568.108910,1777350568.147427,38.516,1,
1264,6,1777350568.112788,1777350568.151289,38.500,1,
266,1,1777350568.116609,1777350568.155149,38.540,1,
64,0,1777350568.120464,1777350568.158947,38.483,1,
865,4,1777350568.124248,1777350568.162792,38.544,1,
1064,5,1777350568.128142,1777350568.166679,38.537,1,
465,2,1777350568.132001,1777350568.170492,38.491,1,
665,3,1777350568.135853,1777350568.174307,38.454,1,
1664,8,1777350568.139713,1777350568.178152,38.438,1,
1864,9,1777350568.143608,1777350568.182025,38.416,1,
1464,7,1777350568.147441,1777350568.185896,38.454,1,
1265,6,1777350568.151308,1777350568.189766,38.458,1,
267,1,1777350568.155164,1777350568.193604,38.439,1,
65,0,1777350568.158962,1777350568.197444,38.481,1,
866,4,1777350568.162808,1777350568.201299,38.491,1,
1065,5,1777350568.166699,1777350568.205568,38.868,1,
466,2,1777350568.170508,1777350568.209603,39.095,1,
666,3,1777350568.174322,1777350568.213766,39.443,1,
1665,8,1777350568.178167,1777350568.217613,39.446,1,
1865,9,1777350568.182045,1777350568.221528,39.483,1,
1465,7,1777350568.185910,1777350568.225338,39.427,1,
1266,6,1777350568.189786,1777350568.229228,39.442,1,
268,1,1777350568.193619,1777350568.233081,39.461,1,
66,0,1777350568.197459,1777350568.236922,39.462,1,
867,4,1777350568.201315,1777350568.240791,39.475,1,
1066,5,1777350568.205590,1777350568.244620,39.029,1,
467,2,1777350568.209618,1777350568.248451,38.833,1,
667,3,1777350568.213781,1777350568.252256,38.475,1,
1666,8,1777350568.217644,1777350568.256088,38.443,1,
1866,9,1777350568.221548,1777350568.260028,38.479,1,
1466,7,1777350568.225368,1777350568.263934,38.566,1,
1267,6,1777350568.229248,1777350568.267805,38.557,1,
269,1,1777350568.233096,1777350568.271723,38.626,1,
67,0,1777350568.236938,1777350568.275562,38.624,1,
868,4,1777350568.240811,1777350568.279400,38.588,1,
1067,5,1777350568.244635,1777350568.283273,38.638,1,
468,2,1777350568.248468,1777350568.287107,38.638,1,
668,3,1777350568.252273,1777350568.290956,38.683,1,
1667,8,1777350568.256109,1777350568.294801,38.692,1,
1867,9,1777350568.260047,1777350568.298708,38.661,1,
1467,7,1777350568.263951,1777350568.302553,38.602,1,
1268,6,1777350568.267825,1777350568.306429,38.604,1,
270,1,1777350568.271739,1777350568.310245,38.505,1,
68,0,1777350568.275579,1777350568.314079,38.500,1,
869,4,1777350568.279420,1777350568.317945,38.524,1,
1068,5,1777350568.283290,1777350568.321816,38.526,1,
469,2,1777350568.287123,1777350568.325719,38.596,1,
669,3,1777350568.290973,1777350568.329533,38.559,1,
1668,8,1777350568.294821,1777350568.333328,38.506,1,
1868,9,1777350568.298725,1777350568.337200,38.475,1,
1468,7,1777350568.302573,1777350568.341043,38.469,1,
1269,6,1777350568.306446,1777350568.344982,38.536,1,
271,1,1777350568.310261,1777350568.348798,38.537,1,
69,0,1777350568.314095,1777350568.352693,38.597,1,
870,4,1777350568.317965,1777350568.356514,38.548,1,
1069,5,1777350568.321832,1777350568.360404,38.572,1,
470,2,1777350568.325735,1777350568.364254,38.519,1,
670,3,1777350568.329549,1777350568.368098,38.548,1,
1669,8,1777350568.333369,1777350568.371977,38.607,1,
1869,9,1777350568.337217,1777350568.375909,38.691,1,
1469,7,1777350568.341063,1777350568.379837,38.773,1,
1270,6,1777350568.344999,1777350568.383736,38.737,1,
272,1,1777350568.348814,1777350568.387471,38.656,1,
